Wall time,Step,Value
1693632073.992296,13300,3.930000066757202
1693632170.3607652,13400,3.7899999618530273
1693632265.465189,13500,3.7279999256134033
1693632361.6354806,13600,3.569999933242798
1693632458.3014362,13700,3.378999948501587
1693632554.0547335,13800,3.953000068664551
1693632650.4817348,13900,3.484999895095825
1693632745.3730495,14000,3.7009999752044678
1693632886.881248,14100,3.6700000762939453
1693632981.7979488,14200,3.5350000858306885
1693633077.5923162,14300,3.750999927520752
1693633172.634764,14400,3.6010000705718994
1693633268.3660622,14500,3.2209999561309814
1693633364.219202,14600,3.2139999866485596
1693633460.8164237,14700,3.318000078201294
1693633610.3862624,14800,4.014999866485596
1693633708.273517,14900,4.085000038146973
1693633803.7825994,15000,4.499000072479248
1693633875.9505744,15100,6.156000137329102
1693633948.9021153,15200,5.932000160217285
1693634021.7959871,15300,5.98199987411499
1693634094.8905232,15400,5.2769999504089355
1693634167.8728912,15500,5.656000137329102
1693634240.1948695,15600,5.784999847412109
1693634312.4001775,15700,5.709000110626221
1693634384.5593097,15800,5.489999771118164
1693634457.3688705,15900,5.420000076293945
1693634531.1216643,16000,5.583000183105469
1693634650.4641669,16100,5.091000080108643
1693634722.5410185,16200,5.0920000076293945
1693634848.9559643,16300,5.322999954223633
1693634921.5968847,16400,5.73199987411499
1693634995.0454466,16500,5.122000217437744
1693635067.461924,16600,5.566999912261963
1693635139.342333,16700,5.473999977111816
1693635212.8393495,16800,5.129000186920166
1693635284.7995281,16900,5.093999862670898
1693635357.9703455,17000,5.770999908447266
1693635431.003857,17100,5.642000198364258
1693635503.3319578,17200,5.5370001792907715
1693635575.933287,17300,5.72599983215332
1693635648.530856,17400,5.203999996185303
1693635721.772716,17500,6.291999816894531
1693635794.7923944,17600,5.546000003814697
1693635920.718034,17700,5.61899995803833
1693635993.2165635,17800,5.6620001792907715
1693636066.6534262,17900,5.166999816894531
1693636139.7574134,18000,5.620999813079834
1693636253.6868987,18100,5.074999809265137
1693636326.7966387,18200,5.086999893188477
1693636399.2664006,18300,5.401000022888184
1693636471.6940796,18400,6.255000114440918
1693636544.9884627,18500,5.960999965667725
1693636617.2259936,18600,5.572000026702881
1693636689.4589307,18700,5.84499979019165
1693636760.9053385,18800,5.443999767303467
1693636833.6224358,18900,5.767000198364258
1693636906.3977597,19000,5.418000221252441
1693636979.8230348,19100,5.276000022888184
1693637106.4303882,19200,4.808000087738037
1693637178.5898747,19300,5.307000160217285
1693637250.540668,19400,5.866000175476074
1693637323.139252,19500,5.1479997634887695
1693637395.8911312,19600,5.374000072479248
1693637468.9808273,19700,5.9079999923706055
1693637541.7470183,19800,5.257999897003174
1693637614.0128016,19900,5.080999851226807
1693637686.3508925,20000,5.035999774932861
1693637807.4311798,20100,5.234000205993652
1693637880.8865895,20200,5.223999977111816
1693637954.0711234,20300,5.079999923706055
1693638026.7690148,20400,6.504000186920166
1693638099.030011,20500,5.693999767303467
1693638171.435006,20600,5.631999969482422
1693638297.647654,20700,5.4710001945495605
1693638370.2693937,20800,5.2270002365112305
1693638442.648263,20900,4.993000030517578
1693638514.963964,21000,5.116000175476074
1693638588.3140824,21100,4.816999912261963
1693638660.8703458,21200,4.410999774932861
1693638733.1486704,21300,4.754000186920166
1693638806.2946737,21400,4.894999980926514
1693638878.2334354,21500,7.638999938964844
1693638950.4459124,21600,6.511000156402588
1693639024.3036802,21700,5.553999900817871
1693639096.5429983,21800,4.75600004196167
1693639169.2699168,21900,5.361000061035156
1693639241.9796686,22000,5.085999965667725
1693639411.6743257,22100,4.646999835968018
1693639483.6177397,22200,4.316999912261963
1693639556.4544623,22300,4.479000091552734
1693639628.635,22400,4.619999885559082
1693639700.4381871,22500,4.61899995803833
1693639773.5578806,22600,4.441999912261963
1693639845.6020646,22700,5.701000213623047
1693639917.5842373,22800,9.88700008392334
1693639989.852384,22900,7.565999984741211
1693640062.0273595,23000,6.843999862670898
1693640134.8971584,23100,6.0920000076293945
1693640208.215353,23200,5.6479997634887695
1693640281.3047876,23300,4.714000225067139
1693640354.250102,23400,4.0279998779296875
1693640427.2987795,23500,3.8429999351501465
1693640550.7493641,23600,3.9730000495910645
1693640623.3223252,23700,3.552000045776367
1693640695.692137,23800,3.3310000896453857
1693640767.5480943,23900,3.6559998989105225
1693640839.8992522,24000,3.7839999198913574
1693640956.7233763,24100,6.034999847412109
1693641029.398027,24200,12.32800006866455
1693641102.7315226,24300,7.743000030517578
1693641175.020787,24400,11.152000427246094
1693641245.869697,24500,7.374000072479248
1693641318.0501862,24600,6.703999996185303
1693641390.0300446,24700,6.7220001220703125
1693641463.901684,24800,5.497000217437744
1693641536.8194442,24900,4.986000061035156
1693641609.4200418,25000,5.247000217437744
1693641738.4137897,25100,5.960000038146973
1693641811.6597676,25200,5.568999767303467
1693641884.465055,25300,5.448999881744385
1693641957.5367045,25400,5.855000019073486
1693642030.954459,25500,5.618000030517578
1693642103.327769,25600,4.452000141143799
1693642175.8000133,25700,5.238999843597412
1693642249.0211036,25800,4.8470001220703125
1693642321.8720043,25900,4.676000118255615
1693642393.0790596,26000,3.5260000228881836
1693642512.9736993,26100,3.6010000705718994
1693642585.2969134,26200,3.2179999351501465
1693642658.2173405,26300,4.285999774932861
1693642730.967607,26400,4.519999980926514
1693642803.53433,26500,4.295000076293945
1693642924.6118743,26600,4.669000148773193
1693642997.425752,26700,4.5229997634887695
1693643070.2517962,26800,11.123000144958496
1693643143.079254,26900,13.687000274658203
1693643214.7226205,27000,12.140999794006348
1693643286.4795456,27100,8.444000244140625
1693643358.536214,27200,5.48799991607666
1693643431.2910879,27300,4.507999897003174
1693643504.5775008,27400,3.625999927520752
1693643578.1159854,27500,3.072000026702881
1693643650.0766964,27600,3.5920000076293945
1693643723.6313667,27700,3.3399999141693115
1693643795.3205323,27800,3.1640000343322754
1693643868.4090726,27900,2.609999895095825
1693643991.7501194,28000,2.631999969482422
1693644107.2958624,28100,2.9509999752044678
1693644180.1991231,28200,3.50600004196167
1693644252.52052,28300,2.316999912261963
1693644325.257985,28400,2.703000068664551
1693644397.740105,28500,3.2660000324249268
1693644469.519614,28600,5.202000141143799
1693644541.359624,28700,17.5310001373291
1693644613.9223063,28800,13.147000312805176
1693644687.4474657,28900,16.851999282836914
1693644760.5654237,29000,15.324000358581543
1693644832.88232,29100,6.632999897003174
1693644905.3579123,29200,7.736000061035156
1693644978.4297085,29300,5.947000026702881
1693645052.3470368,29400,4.423999786376953
1693645172.547792,29500,3.75600004196167
1693645244.9774501,29600,3.802999973297119
1693645316.8624382,29700,5.294000148773193
1693645390.0264814,29800,10.751999855041504
1693645462.1500418,29900,7.663000106811523
1693645534.3698304,30000,5.876999855041504
1693645649.2706244,30100,5.13700008392334
1693645721.736854,30200,5.557000160217285
1693645794.95293,30300,5.179999828338623
1693645867.130745,30400,5.945000171661377
1693645939.0805514,30500,5.034999847412109
1693646011.2742348,30600,5.209000110626221
1693646083.085491,30700,3.640000104904175
1693646155.8750956,30800,4.098999977111816
1693646229.5083447,30900,4.573999881744385
1693646357.3197036,31000,4.4770002365112305
1693646429.954866,31100,4.02400016784668
1693646502.2479112,31200,3.055999994277954
1693646576.4849722,31300,3.055999994277954
1693646649.476376,31400,3.4790000915527344
1693646722.8412247,31500,2.7880001068115234
1693646794.1818266,31600,2.0820000171661377
1693646866.9365506,31700,1.9819999933242798
1693646940.590531,31800,1.9579999446868896
1693647013.207429,31900,2.0360000133514404
1693647085.7297144,32000,1.7719999551773071
1693647198.9465146,32100,1.7589999437332153
1693647271.392018,32200,1.7569999694824219
1693647342.9146981,32300,1.8949999809265137
1693647415.3569613,32400,1.7239999771118164
1693647543.2490616,32500,2.1630001068115234
1693647615.8870237,32600,3.171999931335449
1693647689.3915367,32700,9.095000267028809
1693647761.5514216,32800,22.264999389648438
1693647833.697288,32900,19.16699981689453
1693647905.869121,33000,20.554000854492188
1693647978.435341,33100,15.829999923706055
1693648050.6599174,33200,14.961000442504883
1693648122.7184753,33300,10.682000160217285
